Date,No1,No2,No3,No4,No5,No6,Lucky,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize
11/12/2021,9,11,12,21,34,38,4,0,0,0,0,19,3870.6,63,1000,608,104.8,3010,54.95,7745,20.7,40294,8.45
08/12/2021,3,13,33,38,39,41,5,0,0,1,1000000,3,27348.4,30,1000,443,123.05,1952,72.5,6395,21.45,28939,10.1
04/12/2021,20,23,26,28,33,37,3,0,0,0,0,9,9987.95,38,1000,503,122.95,2004,80.1,7575,20.5,31120,10.65
01/12/2021,2,3,16,25,35,40,4,0,0,0,0,6,12646.2,30,1000,332,154.65,1746,76.35,5101,25.3,26668,10.3
27/11/2021,17,18,20,21,33,41,2,0,0,0,0,12,6637.15,45,1000,488,121.85,2383,64.75,7024,21.3,34879,9.15
24/11/2021,2,9,14,15,31,42,6,0,0,0,0,6,11993.4,27,1000,278,173,1481,84.3,4667,25.9,25016,10.3
20/11/2021,3,4,6,8,26,30,2,0,0,0,0,11,5178.8,63,1000,441,125.15,2321,61.75,6589,21.05,33842,8.75
17/11/2021,4,8,14,18,21,34,1,0,0,0,0,8,4701.55,81,840.65,339,139.65,2465,49.85,4886,24.35,31457,8.05
13/11/2021,3,7,12,13,38,41,6,0,0,0,0,5,14893.35,42,1000,334,166.35,1911,75.45,5512,25.35,31582,9.4
10/11/2021,7,13,21,25,32,35,5,0,0,0,0,14,4127.4,41,1000,436,106.8,2136,56.6,6299,18.6,28086,8.9
06/11/2021,3,12,15,25,27,41,5,0,0,0,0,24,2739.6,50,1000,624,87.1,2288,61.7,7594,18,32156,9.05
03/11/2021,2,3,6,9,19,23,3,0,0,1,1000000,30,1207.75,78,840.95,727,62.75,2317,51.1,8236,13.9,30061,8.15
30/10/2021,4,16,21,30,31,34,6,0,0,1,1000000,10,6876.55,42,1000,400,131.55,1945,70.25,5432,24.35,30122,9.35
27/10/2021,4,16,18,32,33,39,3,0,0,0,0,5,10546.7,42,1000,325,136.55,1392,82.75,5229,21.35,21669,10.95
23/10/2021,6,11,24,28,37,38,1,0,0,0,0,6,12416.2,26,1000,247,198.35,1486,85.6,4189,29.4,25400,10.35
20/10/2021,1,11,20,26,39,42,4,0,0,0,0,8,6098.85,43,1000,288,148.5,1557,71.3,4318,24.9,23443,9.75
16/10/2021,4,10,11,13,28,32,2,0,0,0,0,12,5746.75,47,1000,489,112.05,2387,59.6,6950,19.8,35317,8.3
13/10/2021,1,13,24,26,32,35,3,1,17193959.5,1,1000000,10,9941.9,45,1000,484,143.85,1997,90.5,8435,20.75,34093,10.95
09/10/2021,13,14,15,19,30,33,5,0,0,0,0,14,6526.3,59,1000,462,154.2,2005,92.25,7862,22.8,35374,10.8
06/10/2021,13,18,25,27,34,37,6,0,0,1,1000000,10,9173.95,35,1000,388,158.65,2207,72.4,5838,26.5,32983,10
02/10/2021,2,8,25,29,35,40,2,0,0,0,0,10,9760.65,40,1000,474,140.55,2117,81.7,7506,22.3,35053,10.2
29/09/2021,4,9,14,31,33,35,6,0,0,0,0,7,11729.55,39,1000,390,149.35,2230,67.8,5860,25,33467,9.3
25/09/2021,7,10,12,23,31,41,4,0,0,0,0,15,5383.25,56,1000,498,129.6,2397,69.9,6835,23.75,36003,9.6
22/09/2021,1,5,27,28,30,35,5,0,0,0,0,7,12606.5,19,1000,312,170.45,1440,95.85,5981,22.35,25774,11.05
18/09/2021,5,15,21,24,27,32,5,0,0,0,0,9,9316.9,45,1000,606,101.65,2299,69.55,8621,17.95,35699,9.25
15/09/2021,1,2,13,24,27,30,5,0,0,1,1000000,11,6236.25,42,1000,346,151.85,1699,80.25,5624,23.5,27503,10.25
11/09/2021,5,9,10,18,24,37,4,0,0,0,0,4,21722.45,37,1000,385,155.55,1988,78.2,6087,24.75,32076,10
08/09/2021,20,23,26,30,37,40,6,0,0,0,0,6,11469.2,35,1000,284,175.25,1387,93.15,4444,28.15,24047,11.1
04/09/2021,4,12,24,30,37,40,6,0,0,2,500000,9,7584.65,51,1000,335,167.35,1779,81.8,5428,25.95,27887,10.75
01/09/2021,6,9,12,28,31,36,1,0,0,0,0,4,14061.15,49,1000,351,139.8,2143,59.45,4695,26.25,30730,8.55
28/08/2021,3,12,13,18,19,22,1,0,0,0,0,3,20440.8,55,1000,334,162.1,2301,61.1,5433,25.05,35439,8.2
25/08/2021,1,9,20,23,26,38,4,0,0,0,0,2,33264.1,30,1000,309,150.6,1781,67.85,4928,23.75,26794,9.3
21/08/2021,10,21,24,33,35,36,4,0,0,1,1000000,15,2852.25,71,1000,385,132.95,2236,59.45,5621,22.9,29197,9.4
18/08/2021,7,11,15,26,31,36,2,0,0,0,0,8,6267.5,47,1000,304,148.35,1758,66.6,4938,22.95,25309,9.55
14/08/2021,11,16,36,37,40,42,1,0,0,0,0,6,13924.45,22,1000,239,217.55,1513,89.2,4273,30.6,25633,10.85
11/08/2021,4,13,22,32,40,42,2,0,0,0,0,8,4299.4,74,841.45,429,100.9,2020,55.65,5268,20.65,26443,8.75
07/08/2021,5,10,15,16,19,22,2,0,0,0,0,10,7109.75,29,1000,392,123.65,1717,73.3,5782,21.1,28568,9.1
04/08/2021,1,6,13,24,26,39,5,0,0,0,0,11,4625.85,39,1000,344,122.65,1672,65.5,4817,22,23438,9.65
31/07/2021,12,16,20,28,39,42,5,0,0,0,0,12,4278.5,49,1000,430,108.25,1870,64.6,5883,19.9,25729,9.7
28/07/2021,2,8,29,35,36,42,4,0,0,0,0,3,19604.3,24,1000,187,214.45,1058,98.4,3654,27.6,19467,11.05
24/07/2021,1,5,11,14,22,25,4,0,0,1,1000000,8,5174.65,56,1000,315,140.7,1941,59.25,4983,22.35,27284,8.7
21/07/2021,8,24,26,29,35,41,4,1,4540322.4,0,0,11,5586,26,1000,299,141.4,1470,74.65,4630,22.95,22679,10
17/07/2021,10,15,16,17,34,40,6,0,0,0,0,11,5109.5,49,1000,319,153.75,1729,73.65,4645,26.55,26102,10.05
14/07/2021,4,14,25,29,31,42,6,0,0,0,0,3,19186.9,32,1000,255,167.65,1360,81.6,3952,27.2,21704,10.55
10/07/2021,12,14,15,16,23,40,3,0,0,0,0,8,10146.65,16,1000,303,159.45,1355,92.55,5964,20.35,23622,10.95
07/07/2021,16,17,19,31,36,40,2,0,0,0,0,4,14571.5,29,1000,262,159.9,1337,81.35,4260,24.7,20575,10.9
03/07/2021,5,11,16,24,26,29,4,0,0,1,1000000,7,7808.3,47,1000,409,115.95,2160,57,5801,20.55,30139,8.45
30/06/2021,1,8,12,18,36,39,5,1,10404478.25,0,0,8,7763.9,46,1000,356,142.85,1636,80.7,5567,22.95,27223,10
26/06/2021,8,12,31,32,37,40,6,0,0,0,0,3,28000.65,32,1000,275,204.9,1580,92.55,4920,28.8,28017,10.75
23/06/2021,4,8,18,34,39,42,1,0,0,0,0,8,7204.3,44,1000,285,167.45,1808,68.5,4130,29.05,27648,9.25
19/06/2021,7,16,17,24,29,30,5,0,0,0,0,7,10042.85,42,1000,343,155.7,1580,87.75,5795,23.15,26873,10.65
16/06/2021,1,4,15,21,27,38,3,0,0,0,0,7,10085.8,26,1000,370,127,1599,76.3,6153,19.2,24447,10.3
12/06/2021,10,11,24,31,32,39,1,0,0,0,0,2,41602.85,28,1000,268,202.6,1592,88.5,4259,32.05,27776,10.45
09/06/2021,5,7,17,31,35,37,1,0,0,0,0,8,6835.15,50,1000,312,156,1923,65.7,4349,28.15,27376,9.5
05/06/2021,11,18,21,34,36,41,6,0,0,0,0,9,8289.65,45,1000,416,136.7,2231,66.15,5797,24.65,32640,9.35
02/06/2021,4,14,16,20,25,33,5,0,0,1,1000000,9,6925.45,38,1000,355,134.3,1753,70.6,5595,21.4,26776,9.55
29/05/2021,5,6,16,21,22,23,5,0,0,1,1000000,13,5083.75,48,1000,401,133.95,1748,79.75,6463,20.9,29570,9.75
26/05/2021,5,7,10,23,26,34,6,0,0,1,1000000,11,3226.2,68,944.8,366,122.05,2256,51.4,4931,22.75,28955,8.25
22/05/2021,5,14,24,26,33,38,5,0,0,0,0,9,6898.85,49,1000,405,128.55,1932,69.95,6413,20.4,26476,10.55
19/05/2021,1,7,10,22,33,37,1,0,0,0,0,10,6481.05,25,1000,307,142,1674,67.6,4537,24.15,25432,9.2
15/05/2021,18,32,35,36,37,42,4,0,0,0,0,7,10807.6,25,1000,251,195.9,1242,102.8,4244,29.15,22228,11.85
12/05/2021,8,17,19,21,29,33,4,1,4268454.35,1,1000000,31,1249.3,126,556.45,585,83.3,3183,39.75,6874,17.85,35174,7.4
08/05/2021,1,6,21,27,31,32,3,0,0,0,0,3,28199.9,29,1000,384,144.3,1525,94.35,7311,19.05,28320,10.5
05/05/2021,3,8,12,14,15,42,6,0,0,0,0,3,21973.1,33,1000,309,153.6,1682,73.25,5116,23.3,27506,9.25
01/05/2021,11,13,14,15,33,39,6,0,0,0,0,3,25307.05,33,1000,305,172.45,1894,72.1,5152,25.65,29671,9.5
28/04/2021,12,24,26,32,39,40,2,0,0,1,1000000,5,13117,27,1000,265,169.15,1386,83.95,4658,24.2,22747,10.55
24/04/2021,7,10,13,15,33,39,2,1,5495226.4,1,1000000,11,7499.15,36,1000,400,143.05,2085,71.25,6319,22.75,33678,9.1
21/04/2021,16,22,24,26,28,39,5,0,0,0,0,9,7061.5,40,1000,395,124.35,1771,72,6263,19.7,27582,9.55
17/04/2021,7,9,18,36,40,41,2,0,0,0,0,3,27007.45,36,1000,406,139.05,1905,76.95,6178,22.95,30398,9.95
14/04/2021,12,16,22,35,41,42,4,0,0,0,0,6,10879,36,1000,237,204.05,1488,84.35,4507,26.95,24451,10.6
10/04/2021,6,7,8,12,32,38,1,0,0,0,0,7,12221.95,28,1000,269,206.3,1692,85.15,4835,28.85,30541,9.75
07/04/2021,5,7,8,32,33,34,4,0,0,0,0,4,16480.3,33,1000,236,201.1,1308,94.2,4909,24.3,25160,10.1
03/04/2021,4,8,17,22,27,31,4,1,16267330.2,1,1000000,27,2096.75,109,940.25,788,90.4,3412,54.2,9843,18.2,45835,8.35
31/03/2021,4,6,14,34,37,42,3,0,0,0,0,10,8252.1,51,1000,502,126.3,2151,76.5,7572,21.05,31969,10.6
27/03/2021,21,23,26,27,32,41,1,0,0,0,0,7,13979.8,56,1000,402,182.45,2596,73.35,6456,28.55,42357,9.25
24/03/2021,16,25,31,40,41,42,5,0,0,0,0,10,9614.95,30,1000,361,171.1,1606,99.85,5960,26.05,27365,12.1
20/03/2021,1,2,3,16,22,37,5,0,0,0,0,8,13100.95,43,1000,347,206.25,1960,94.8,6753,26.65,34570,11.1
17/03/2021,4,9,13,29,37,41,6,0,0,0,0,7,11546.55,52,1000,401,156.95,2286,71.45,6166,25.65,35294,9.55
13/03/2021,2,18,29,31,39,42,4,0,0,0,0,15,6677.85,54,1000,491,150.1,2392,80,7380,25.1,35820,11
10/03/2021,2,7,8,10,27,36,6,0,0,0,0,6,14550.15,36,1000,396,150.7,2390,64.85,6496,23.1,36709,8.7
06/03/2021,6,20,28,37,38,41,2,0,0,0,0,7,14471.35,42,1000,417,166.3,2112,85.25,6480,26.9,33428,11.1
03/03/2021,3,4,11,12,17,20,5,0,0,0,0,6,9345,78,1000,518,117.55,2684,58.9,7892,19.4,38741,8.4
27/02/2021,2,16,19,28,31,34,1,0,0,0,0,4,21250.9,70,1000,423,171.35,2659,70.75,6328,28.8,40596,9.55
24/02/2021,3,9,23,33,36,41,5,0,0,0,0,14,3614.75,77,1000,684,84.35,3016,49.65,8532,17,37561,8.25
20/02/2021,10,20,27,34,35,38,2,0,0,0,0,14,6037.5,50,1000,655,97.75,2801,59.35,7563,21.3,36766,9.35
17/02/2021,6,12,23,34,36,40,3,0,0,0,0,7,11987.15,24,1000,388,136.6,1757,78.3,6707,19.85,26992,10.5
13/02/2021,4,18,27,32,38,39,2,0,0,0,0,7,13149.4,34,1000,396,154.8,1823,87.3,5985,25.75,29847,11
10/02/2021,9,13,19,21,27,30,4,0,0,1,1000000,8,7633.75,52,1000,454,116.25,2557,53.6,6670,19.9,36281,7.8
06/02/2021,2,9,11,24,32,35,6,0,0,1,1000000,6,10734.6,71,1000,457,136.35,2871,56.35,6545,23.95,39513,8.45
03/02/2021,4,8,19,23,37,38,6,0,0,0,0,10,6582.3,49,1000,333,162.15,1790,78.3,5268,25.75,29210,9.9
30/01/2021,6,7,15,16,20,26,5,1,37691898,0,0,13,11616.4,81,1000,833,133.2,3945,73,13567,20.55,63601,9.35
27/01/2021,5,9,12,14,27,29,1,0,0,1,1000000,11,7602,127,1000,716,133,5158,47.9,10055,23.8,68910,7.4
23/01/2021,5,8,13,18,20,31,3,0,0,0,0,27,4575.55,105,1000,950,112.3,4030,68.75,13756,19.5,58584,9.75
20/01/2021,7,10,13,16,25,26,1,0,0,1,1000000,11,10676.45,65,1000,539,161.6,3344,67.6,8590,25.5,51665,9.05
16/01/2021,6,8,21,24,33,42,2,0,0,1,1000000,39,1944.8,162,847.6,968,98.6,4717,52.55,12289,19.55,60213,8.5
13/01/2021,3,11,21,26,37,41,3,0,0,0,0,27,3874.4,81,1000,879,99.1,3484,64.9,12680,17.25,49870,9.35
09/01/2021,3,4,8,12,20,37,3,0,0,1,1000000,16,8127.95,79,1000,878,113.15,3274,78.75,12947,19.3,52241,10.2
06/01/2021,12,13,19,24,31,35,3,0,0,0,0,8,14112.55,55,1000,578,139.55,2602,80.45,9292,21.8,40673,10.6
02/01/2021,3,11,14,20,25,28,3,0,0,0,0,22,2861.2,118,965.7,875,90.55,3346,61.45,11689,17.05,45823,9.25
30/12/2020,2,13,18,21,25,34,3,0,0,0,0,16,6878.5,67,1000,697,120.7,2992,73,10801,19.6,45241,9.95
26/12/2020,4,11,12,30,36,38,4,0,0,0,0,6,14974.85,45,1000,398,162.55,1742,96.4,6359,25.55,30145,11.5
23/12/2020,5,8,18,19,39,41,6,0,0,1,1000000,17,3923.7,143,844.45,560,149.9,4366,49.9,8433,25,51875,8.65
19/12/2020,4,10,17,21,35,36,3,0,0,0,0,14,8116.1,67,1000,808,106.4,3234,69,11818,18.3,48465,9.5
16/12/2020,3,12,14,16,27,34,6,0,0,0,0,15,3898.4,121,874.9,614,119.85,3539,54,8182,22.6,47900,8.25
12/12/2020,3,6,10,11,15,25,2,0,0,0,0,21,4659.55,83,1000,776,108.8,3600,60.9,10450,20.3,51104,8.85
09/12/2020,21,23,24,25,28,35,6,0,0,0,0,4,27808,37,1000,489,148.05,2278,82.5,7670,23.75,38653,10.05
05/12/2020,9,13,22,23,26,38,3,0,0,0,0,13,7458.05,75,1000,880,91.7,3450,60.7,12067,16.8,46773,9.25
02/12/2020,9,16,20,22,35,37,5,0,0,0,0,12,7239.6,55,1000,526,127.9,2438,71.65,8252,20.5,36431,9.9
28/11/2020,5,10,14,26,37,40,1,0,0,0,0,10,8979.65,75,1000,455,169.25,2968,67.35,6651,29.1,43002,9.6
25/11/2020,10,12,14,19,23,37,4,0,0,0,0,14,6385.7,45,1000,412,156.45,2061,81.2,6571,24.65,33634,10.25
21/11/2020,1,3,22,29,33,42,2,0,0,0,0,11,8122.85,67,1000,619,118.7,3081,61.9,8987,20.55,44254,8.9
18/11/2020,1,10,11,16,18,38,4,0,0,1,1000000,6,15615.15,31,1000,410,148.55,1887,83.8,6518,23.5,30847,10.6
14/11/2020,3,15,23,30,31,34,5,0,0,0,0,12,8011.2,60,1000,618,119.9,2516,76.45,8794,21.2,38593,10.3
11/11/2020,3,6,11,20,31,36,1,0,0,0,0,8,8563.45,57,1000,366,160.3,2220,68.6,5339,27.6,34537,9.1
07/11/2020,6,12,19,20,22,30,3,0,0,0,0,11,7354.75,65,1000,611,111.8,2501,70.9,9464,18.15,38598,9.5
04/11/2020,7,14,26,27,32,34,6,0,0,1,1000000,6,14250.45,30,1000,317,177.6,1964,74.4,5485,25.8,32827,9.2
31/10/2020,4,8,9,18,27,34,1,0,0,0,0,10,5295.1,95,1000,474,139.85,3416,50.4,6702,24.85,47039,7.55
28/10/2020,7,21,22,26,30,32,1,0,0,1,1000000,4,19621.85,33,1000,327,164.9,1807,77.45,4897,27.7,31685,9.1
24/10/2020,3,12,21,29,33,40,2,0,0,2,500000,35,1348.45,123,694.65,687,86.45,3174,48.6,8028,18.6,39426,8.05
21/10/2020,8,9,11,21,33,36,4,0,0,1,1000000,12,3654.55,65,1000,499,98.75,2718,47.05,6654,18.6,35458,7.45
17/10/2020,22,25,26,32,36,39,4,0,0,0,0,2,44939.9,27,1000,358,160.1,1799,82.7,5849,24.65,28893,10.6
14/10/2020,7,11,13,16,26,33,6,0,0,0,0,17,2703.45,61,1000,434,112.25,2350,53.8,5757,21.25,33142,7.85
10/10/2020,2,5,6,14,21,28,3,0,0,0,0,10,5832.65,64,1000,603,93.4,2503,58.4,8667,16.35,35436,8.5
07/10/2020,8,18,20,21,34,37,5,0,0,0,0,12,4143.15,56,1000,402,120.85,1801,70.05,5882,20.75,26069,10
03/10/2020,6,7,19,20,24,35,4,0,0,1,1000000,12,6545,36,1000,349,158.1,1805,79.35,5862,23.65,29823,9.9
30/09/2020,10,13,17,20,34,42,3,0,0,0,0,11,5442.5,37,1000,412,111.65,1781,67.05,6560,17.6,26518,9.3
26/09/2020,14,20,21,26,27,29,5,0,0,0,0,11,6816.05,39,1000,361,151.2,1581,89.6,5959,23.05,27611,10.6
23/09/2020,16,17,19,23,26,32,6,0,0,0,0,2,28524.25,33,1000,239,179.5,1408,79.1,4249,25.4,23392,9.8
19/09/2020,3,5,20,22,25,40,1,0,0,0,0,12,5209.25,41,1000,306,160.1,1910,66.6,4581,26.9,29771,8.8
16/09/2020,6,9,19,31,33,37,5,0,0,0,0,6,9567.9,29,1000,351,118.05,1467,73.35,5018,20.75,23192,9.55
12/09/2020,16,18,19,21,30,33,5,0,0,0,0,4,16292.6,35,1000,353,135.7,1741,71.4,5520,21.8,25886,9.9
09/09/2020,1,13,17,24,33,38,5,1,2782972.65,1,1000000,6,8408.2,45,1000,280,158.7,1515,76.15,4797,23.3,22976,10.35
05/09/2020,3,7,13,15,36,41,1,0,0,0,0,4,17612.7,34,1000,308,163,1815,71.8,4674,27,29507,9.1
02/09/2020,2,9,14,23,25,39,5,0,0,0,0,12,3539,56,1000,367,122.25,1712,68.05,5689,19.8,25569,9.4
29/08/2020,4,17,19,34,39,41,2,1,15483408.65,0,0,11,8035.7,60,1000,472,148.55,2527,72.05,7649,23.05,37738,9.95
26/08/2020,4,16,22,33,36,37,3,0,0,0,0,14,5466.05,49,1000,466,127.65,2070,74.6,7384,20.25,30203,10.55
22/08/2020,4,7,9,12,16,35,5,0,0,1,1000000,15,5052.05,61,1000,511,125.35,2576,64.55,8375,19.2,39608,8.65
19/08/2020,17,20,27,34,38,41,3,0,0,1,1000000,21,2722.65,66,1000,644,87.8,2559,57.35,7768,18.3,31511,9.6
15/08/2020,1,7,10,20,23,36,4,0,0,0,0,17,4203.2,63,1000,435,144,2448,66.45,6517,24.15,35407,9.5
12/08/2020,7,9,14,15,16,26,1,0,0,0,0,7,9812.55,42,1000,321,163.8,1946,70.15,5186,25.5,31802,8.85
08/08/2020,4,11,14,19,27,30,3,0,0,0,0,15,4148,65,1000,695,84.5,2600,58.65,9007,16.4,34904,9
05/08/2020,9,11,17,18,28,29,1,0,0,1,1000000,9,5522.85,61,1000,373,135.75,2254,58.3,5518,23.05,35330,7.7
01/08/2020,14,22,25,32,33,37,4,0,0,0,0,6,12787.4,29,1000,321,160.05,1583,84.25,5350,24.15,25881,10.65
29/07/2020,11,15,17,19,36,38,2,0,0,0,0,5,13715.55,33,1000,301,162.2,1496,84.7,4974,24.7,24864,10.5
25/07/2020,1,15,17,21,37,40,5,0,0,0,0,5,17294.3,27,1000,345,161.05,1556,92.7,5812,24.05,27513,10.8
22/07/2020,3,8,31,36,40,41,1,0,0,0,0,5,15259.45,19,1000,227,207.2,1384,88.25,3812,31,25025,10.05
18/07/2020,15,16,17,29,37,42,5,0,0,0,0,9,9387.35,27,1000,397,137.35,1597,88.65,5718,24,26623,10.95
15/07/2020,6,13,15,25,32,42,5,0,0,0,0,9,7408.8,30,1000,344,135.5,1573,76.95,5290,22.15,24343,10.25
11/07/2020,5,23,27,28,32,37,6,0,0,0,0,5,16823,24,1000,309,171.9,1737,79.4,5005,26.7,29192,9.75
08/07/2020,12,18,28,30,31,42,5,0,0,0,0,8,8071,31,1000,360,127.6,1566,76.15,5054,22.85,23986,10.25
04/07/2020,9,15,18,21,28,36,5,0,0,0,0,14,3729.95,64,1000,611,87,2649,52.1,7568,17.65,33939,8.4
01/07/2020,7,8,13,14,17,22,5,0,0,0,0,6,8660.9,42,1000,422,104.25,1767,64.6,5763,19.2,27246,8.65
27/06/2020,4,9,10,13,25,32,2,0,0,0,0,6,13452.5,22,1000,353,143.2,1692,77.55,5855,21.7,27960,9.7
24/06/2020,5,8,21,28,35,37,1,1,12929914.55,1,1000000,11,3965.9,77,1000,353,153.25,2522,55.7,5194,26.2,34365,8.45
20/06/2020,8,17,21,26,32,39,1,0,0,3,333333.35,12,4182.3,125,726.85,443,142.6,3501,46.85,6039,26.3,41992,8.05
17/06/2020,8,12,14,16,23,32,5,0,0,1,1000000,10,6674.3,52,1000,541,102.95,2252,64.2,7347,19.05,33644,8.85
13/06/2020,3,16,18,23,32,34,1,0,0,0,0,6,11715.35,69,1000,343,188.1,2602,64.35,5463,29.7,38427,9
10/06/2020,8,14,19,28,40,41,3,0,0,0,0,10,8286.25,29,1000,496,109.95,2002,70.7,7368,18.6,31062,9.4
06/06/2020,2,4,5,13,21,42,4,0,0,0,0,11,7001.75,55,1000,472,131.8,2516,64.2,7137,21.9,38306,8.7
03/06/2020,9,10,23,28,34,35,4,0,0,0,0,12,5764.15,37,1000,371,136.85,1855,71.05,5938,21.5,30519,8.9
30/05/2020,14,18,22,33,34,35,2,0,0,0,0,10,7381.5,54,1000,428,140.55,2181,71.6,6937,21.8,32857,9.8
27/05/2020,2,9,11,21,30,34,1,0,0,1,1000000,10,4063.05,83,886.2,386,132.5,2734,48.55,5248,24.5,34981,7.85
23/05/2020,6,12,14,26,27,28,1,0,0,1,1000000,7,11437.15,34,1000,299,184.4,2124,67.4,5057,27.4,33178,8.9
20/05/2020,2,10,14,19,34,38,3,0,0,0,0,9,6247.6,50,1000,390,126.85,1801,71.3,6020,20.65,25345,10.45
16/05/2020,1,17,24,31,36,37,3,0,0,0,0,6,14216.3,31,1000,288,196.55,1582,92.85,5591,25.45,24932,12.15
13/05/2020,8,10,16,22,23,39,2,0,0,0,0,6,11007.8,35,1000,339,142.6,1680,74.7,5862,20.75,28693,9.05
09/05/2020,2,10,15,35,37,38,3,0,0,0,0,3,25621.9,36,1000,354,153.45,1554,90.75,5800,23.55,24624,11.8
06/05/2020,3,6,11,31,33,40,4,0,0,0,0,17,4076.85,38,1000,353,145.2,1973,67.45,5963,21.6,32677,8.4
02/05/2020,1,10,19,27,31,41,3,1,45027789.05,2,500000,42,2582.35,140,1000,912,124.25,4012,73.35,14376,19.8,59799,10.15
29/04/2020,12,13,19,30,35,40,6,0,0,0,0,12,11850.5,70,1000,585,174.2,3123,84.7,10004,25.6,51828,10.55
25/04/2020,10,18,19,32,33,39,2,0,0,1,1000000,19,7729.15,83,1000,660,166.1,3592,79.25,11246,24.5,58707,10
22/04/2020,3,13,14,17,28,34,2,0,0,0,0,18,6381.55,106,1000,853,120.35,4485,59.4,12845,20.1,63824,8.6
18/04/2020,3,9,20,26,37,40,4,0,0,0,0,12,9501.6,86,1000,673,139.65,3287,74.2,9922,23.8,51727,9.75
15/04/2020,4,23,31,34,36,38,2,0,0,0,0,12,7592.2,69,1000,483,155.7,2364,82.6,7677,24.65,37096,10.85
11/04/2020,2,3,24,28,33,37,4,0,0,0,0,10,12890.85,35,1000,523,154.25,2338,89.55,8228,24.65,41121,10.5
08/04/2020,4,11,20,22,36,40,1,0,0,0,0,9,9552.3,78,1000,507,150.45,3260,60.75,7351,26.1,46007,8.9
04/04/2020,2,4,11,19,27,31,3,0,0,0,0,26,3475.3,81,1000,804,99.2,3390,61.1,10819,18.55,47359,9
01/04/2020,22,24,32,36,39,42,3,0,0,0,0,27,3111.65,70,1000,656,109.7,2724,68.6,8975,20.15,38591,10
28/03/2020,4,19,21,22,35,41,1,0,0,0,0,8,15067.1,33,1000,391,193.2,2528,77.55,6244,30.4,41970,9.65
25/03/2020,15,21,26,28,29,32,1,0,0,0,0,10,8344.9,58,1000,374,178.5,2732,63.45,6064,27.65,43459,8.25
21/03/2020,2,9,11,24,31,34,1,0,0,0,0,7,13168.4,55,1000,404,173.3,2788,65.2,6262,28.1,40886,9.15
18/03/2020,3,7,9,22,28,39,6,0,0,0,0,13,4218.95,86,1000,490,129.7,3264,50.55,7518,21.25,44963,7.55
14/03/2020,5,10,11,13,18,24,6,0,0,0,0,19,5161.95,73,1000,586,137.25,3173,65.8,8390,24.1,47465,9.1
11/03/2020,14,20,30,32,35,42,3,0,0,0,0,8,13141.85,38,1000,502,138.8,2165,83.55,8309,21.1,35914,10.4
07/03/2020,2,3,8,10,18,24,1,0,0,1,1000000,13,6458.1,91,1000,533,151.2,3212,65.15,7549,26.85,47168,9.15
04/03/2020,7,10,20,22,25,29,5,0,0,0,0,13,7115.65,57,1000,546,130.05,2715,67.9,8922,20,40530,9.4
29/02/2020,8,14,20,24,37,42,2,0,0,0,0,11,11449,36,1000,467,170.35,2333,88.5,7765,25.75,38086,11.2
26/02/2020,8,9,21,24,28,36,3,0,0,1,1000000,11,7977.5,52,1000,742,89.6,2792,61.85,10417,16.05,40923,8.7
22/02/2020,7,19,22,39,40,42,5,0,0,0,0,9,12129.3,44,1000,568,130.65,2490,77.35,8650,21.55,40003,9.95
19/02/2020,9,10,15,17,19,36,3,0,0,0,0,9,11083.8,36,1000,500,132.2,1964,87.35,8972,18.5,35283,10.05
15/02/2020,9,14,16,31,36,41,1,0,0,0,0,13,8273.65,53,1000,439,175.6,2458,81.4,6644,29.15,40532,10.2
12/02/2020,5,14,24,32,35,39,2,0,0,2,500000,14,4082.75,88,1000,553,118.6,2613,65.15,7194,22.9,35841,9.8
08/02/2020,3,24,26,37,40,42,5,0,0,0,0,11,8106.9,67,1000,474,154.85,2388,79.8,7732,23.85,37339,10.55
05/02/2020,9,13,18,28,36,41,5,0,0,1,1000000,19,3130.6,75,1000,608,101.05,2623,60.8,7986,19.35,35743,9.2
01/02/2020,5,10,13,28,29,35,3,0,0,0,0,15,6543.55,51,1000,629,113.55,2391,77.55,9915,18.1,38561,9.9
29/01/2020,8,17,19,22,32,40,6,0,0,0,0,12,3846.9,118,708.25,504,115.3,3023,49.9,6737,21.7,38108,8.15
25/01/2020,5,8,12,39,40,42,2,0,0,0,0,4,21938.35,50,1000,399,164.6,2406,70.85,7113,23.2,38183,9.2
22/01/2020,6,16,23,24,31,36,6,0,0,0,0,9,8622.45,36,1000,398,137.45,1758,80.75,5864,23.45,28038,10.45
18/01/2020,3,7,9,20,32,42,2,0,0,0,0,8,9775.45,58,1000,549,116.7,2632,63.2,7894,20.4,40309,8.5
15/01/2020,11,13,19,20,25,29,5,0,0,0,0,8,8801.85,46,1000,432,127.6,1830,78.2,6615,20.95,29996,9.85
11/01/2020,7,8,29,31,34,37,2,0,0,0,0,6,14880.55,43,1000,388,163.9,2050,80.5,6410,24.95,32758,10.4
08/01/2020,6,11,17,21,35,38,1,0,0,0,0,11,4919.2,59,1000,364,143.1,2369,57.05,5007,26.15,33212,8.4
