Date,No1,No2,No3,No4,No5,No6,Lucky,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize
03/04/2024,16,23,29,32,37,39,6,0,0,0,0,6,11640.95,35,1000,301,167.1,1542,84.7,4664,27.1,25968,10.4
30/03/2024,7,13,14,31,32,35,5,0,0,0,0,6,14764.05,35,1000,372,161.1,1659,93.8,6597,22.85,31108,10.3
27/03/2024,8,11,25,26,27,35,1,0,0,0,0,5,13340.9,49,1000,346,157.35,2299,61.45,5112,26.75,34285,8.5
23/03/2024,10,11,13,28,29,38,3,0,0,0,0,9,8951.45,43,1000,515,114.75,2048,74.9,8028,18.5,31948,9.9
20/03/2024,5,6,12,27,28,42,6,0,0,0,0,14,4613.45,47,1000,466,112.75,1999,68.2,6472,20.4,31444,8.95
16/03/2024,11,21,23,24,26,36,5,0,0,1,1000000,9,10510.65,34,1000,480,130.45,2199,73.9,8170,19.25,36604,9.15
13/03/2024,1,17,22,23,27,37,2,0,0,0,0,5,15897.5,35,1000,415,133.15,2211,64.9,5822,23.85,30285,9.75
09/03/2024,19,23,34,35,41,42,3,0,0,0,0,7,13164.95,41,1000,429,149.75,1852,90.05,7681,21,32120,10.7
06/03/2024,5,12,17,32,34,39,5,0,0,0,0,11,8417.8,58,1000,604,118.3,2633,70.45,9718,18.5,40941,9.35
02/03/2024,5,14,33,35,36,41,4,1,64585388.2,1,1000000,35,11296.05,205,1000,1808,159.05,9395,79.45,29859,24.2,148168,10.4
28/02/2024,3,9,23,27,33,38,1,0,0,1,1000000,41,6671.05,342,1000,2113,133.1,15422,47.35,27400,25.8,192436,7.85
24/02/2024,5,7,10,24,36,37,4,0,0,0,0,49,7011.7,197,1000,1602,160.85,8062,82.95,25759,25.15,126315,10.95
21/02/2024,10,13,14,23,24,30,1,0,0,0,0,26,11301.5,139,1000,1080,192.8,6771,79.85,18211,28.75,113049,9.85
17/02/2024,1,3,16,18,29,32,4,0,0,1,1000000,31,8253.4,158,1000,1433,137.15,8125,62.8,22113,22.35,112629,9.35
14/02/2024,21,23,28,32,36,37,5,0,0,2,500000,26,8575.7,108,1000,1144,139,5227,79,18599,21.5,83914,10.15
10/02/2024,17,20,32,35,36,42,2,0,0,0,0,26,8084.1,96,1000,1125,131.15,5294,72.35,16367,22.65,78663,10.05
07/02/2024,7,10,19,30,32,37,4,0,0,1,1000000,19,7969.45,95,1000,777,150.45,3812,79.6,12344,23.8,60075,10.4
03/02/2024,2,4,6,17,24,30,5,0,0,0,0,17,8444.8,106,1000,866,135.55,4294,70.95,12461,23.7,64800,9.7
31/01/2024,1,7,13,36,38,41,5,0,0,0,0,12,11801.65,43,1000,576,157.1,2640,89,9157,24.85,43302,11.2
27/01/2024,5,12,17,21,33,40,3,0,0,0,0,32,2759.75,124,1000,1136,84.85,4332,57.75,14508,16.7,57474,9
24/01/2024,4,6,13,31,36,41,4,0,0,1,1000000,10,11557,64,1000,548,156.45,2641,84.25,8528,25.25,42367,10.85
20/01/2024,2,10,21,26,28,36,4,0,0,0,0,17,7177.4,72,1000,603,153.15,3678,65.15,10368,22.4,54523,9.05
17/01/2024,5,7,9,25,36,39,4,0,0,0,0,15,6673.2,70,1000,554,144.85,3022,68.95,8514,23.7,44788,9.6
13/01/2024,19,31,34,36,38,41,5,0,0,1,1000000,12,10072.2,60,1000,580,149.7,2573,87.6,8547,25.55,40016,11.6
10/01/2024,4,7,8,9,14,30,6,0,0,0,0,22,4149.2,80,1000,570,140.05,3264,63.5,8567,23.4,47164,9.05
06/01/2024,8,12,26,27,30,31,4,0,0,0,0,12,9786.4,64,1000,574,151.05,3005,74.9,9399,23.2,47390,9.8
03/01/2024,3,6,8,22,32,34,1,0,0,0,0,9,9383.35,81,1000,514,149.25,3508,56.8,7298,26.45,50034,8.2
30/12/2023,3,4,17,23,33,40,4,0,0,0,0,24,4860,76,1000,754,121,3703,63.95,11326,20.25,54926,8.9
27/12/2023,6,25,27,31,37,40,5,0,0,0,0,6,20160.65,24,1000,379,190.1,2045,91.45,7341,24.65,34889,11.05
23/12/2023,3,4,12,21,22,35,5,0,0,0,0,12,9176.6,73,1000,694,124.85,3457,65.05,11280,19.3,50999,9.1
20/12/2023,3,21,23,27,39,42,6,0,0,0,0,11,8118.45,64,1000,628,115,3108,60.35,8566,21.2,44461,8.7
16/12/2023,1,9,16,17,30,36,1,0,0,1,1000000,17,6496.25,56,1000,511,156.15,2563,80.85,7264,27.6,42336,10.1
13/12/2023,9,17,26,27,28,35,3,0,0,0,0,16,3433.6,105,947.2,951,72.7,3391,52.95,11542,15.05,44063,8.4
09/12/2023,7,8,15,33,37,41,1,0,0,1,1000000,6,18750.4,53,1000,463,172,2932,70.5,7095,28.2,45718,9.35
06/12/2023,3,19,26,28,32,42,2,0,0,0,0,11,7909.75,54,1000,456,146.8,2433,71.4,7272,23.15,37425,9.6
02/12/2023,5,22,25,31,39,42,4,0,0,0,0,16,6818.2,40,1000,485,149.55,2362,79.7,6910,26.4,36941,10.5
29/11/2023,3,20,21,35,37,38,2,0,0,1,1000000,5,18430.45,40,1000,408,156.45,1908,86.85,6168,26,31686,10.8
25/11/2023,3,8,15,28,34,42,2,0,0,0,0,9,10077.25,60,1000,604,118.05,2806,65.95,8394,21.35,43071,8.85
22/11/2023,10,20,27,32,41,42,1,0,0,0,0,6,12332.15,48,1000,362,159.6,2368,63.35,5501,26.4,33737,9.15
